gene_id	gene_name
ENSACLG00000000035	fah
ENSACLG00000000631	tph1b
ENSACLG00000000700	cthl
ENSACLG00000001151	enosf1
ENSACLG00000001421	mtr
ENSACLG00000001596	mthfr
ENSACLG00000001822	dpydb
ENSACLG00000001867	glsb
ENSACLG00000001993	cars1
ENSACLG00000002165	nars1
ENSACLG00000002191	ftcd
ENSACLG00000002358	cad
ENSACLG00000002554	abat
ENSACLG00000002667	th
ENSACLG00000002899	dars2
ENSACLG00000003086	gmps
ENSACLG00000003291	zgc:172341
ENSACLG00000003338	hal
ENSACLG00000003518	hibadhb
ENSACLG00000003555	NA
ENSACLG00000003946	hpdl
ENSACLG00000004618	yars1
ENSACLG00000006420	hars
ENSACLG00000006527	zgc:171566
ENSACLG00000006833	thnsl2
ENSACLG00000007277	ctps1a
ENSACLG00000007500	asl
ENSACLG00000007545	cars2
ENSACLG00000007695	bcat1
ENSACLG00000007919	aldh18a1
ENSACLG00000008214	gfpt2
ENSACLG00000008379	gad2
ENSACLG00000009162	gfpt1
ENSACLG00000009251	sars1
ENSACLG00000009522	pars2
ENSACLG00000010356	shmt1
ENSACLG00000010606	ggh
ENSACLG00000010615	tdo2a
ENSACLG00000010881	lars1b
ENSACLG00000011199	lgsn
ENSACLG00000011442	pfas
ENSACLG00000011604	tph1a
ENSACLG00000011683	sars2
ENSACLG00000011726	ASS1
ENSACLG00000012534	hpdb
ENSACLG00000012537	bhmt
ENSACLG00000012578	qdpra
ENSACLG00000013037	lars2
ENSACLG00000013451	NA
ENSACLG00000013655	aarsd1
ENSACLG00000013951	farsb
ENSACLG00000014062	aldh4a1
ENSACLG00000014420	kynu
ENSACLG00000014763	iars2
ENSACLG00000015114	gpt2l
ENSACLG00000015674	asns
ENSACLG00000015718	prodha
ENSACLG00000016155	AMDHD1
ENSACLG00000016185	wars1
ENSACLG00000017045	NA
ENSACLG00000018439	ddc
ENSACLG00000018445	shmt2
ENSACLG00000018557	aass
ENSACLG00000018603	tars1
ENSACLG00000018607	fars2
ENSACLG00000018673	vars2
ENSACLG00000018983	cps1
ENSACLG00000018990	acy1
ENSACLG00000019048	hdc
ENSACLG00000019331	slc38a9
ENSACLG00000019629	amt
ENSACLG00000019691	gldc
ENSACLG00000020203	NA
ENSACLG00000020228	eprs1
ENSACLG00000020262	NA
ENSACLG00000020446	psph
ENSACLG00000020536	sdsl
ENSACLG00000020848	gls2b
ENSACLG00000021260	mtap
ENSACLG00000021378	tph2
ENSACLG00000021738	SHMT2
ENSACLG00000022182	ALDH18A1
ENSACLG00000022314	aars1
ENSACLG00000022369	si:ch211-217a12.1
ENSACLG00000022592	prodhb
ENSACLG00000022658	aspg
ENSACLG00000022801	NA
ENSACLG00000022838	bcat2
ENSACLG00000023542	gstz1
ENSACLG00000024173	NA
ENSACLG00000024312	uroc1
ENSACLG00000024739	pycr3
ENSACLG00000024755	phactr3a
ENSACLG00000024780	dlst
ENSACLG00000024806	NA
ENSACLG00000025214	cnr1
ENSACLG00000025699	vars1
ENSACLG00000026008	dao.2
ENSACLG00000026091	gatb
ENSACLG00000026295	yars2
ENSACLG00000027158	gars1
ENSACLG00000027174	gars1
ENSACLG00000027227	tha1
ENSACLG00000027270	NA
ENSACLG00000027714	ctps1b
