gene_id	gene_name
ENSACLG00000000160	lmod2b
ENSACLG00000000186	NA
ENSACLG00000000778	rac3b
ENSACLG00000000882	tmod1
ENSACLG00000000912	NA
ENSACLG00000000991	kank4
ENSACLG00000001047	NA
ENSACLG00000001221	ect2
ENSACLG00000001322	csrp3
ENSACLG00000001371	NA
ENSACLG00000001727	tnnt3a
ENSACLG00000001894	diaph2
ENSACLG00000002059	tpm4a
ENSACLG00000002087	FMN2
ENSACLG00000002270	FMN1
ENSACLG00000002334	SPTBN1
ENSACLG00000002345	vcp
ENSACLG00000002466	NA
ENSACLG00000002471	arpc1a
ENSACLG00000002541	NA
ENSACLG00000002677	arpin
ENSACLG00000003060	INF2
ENSACLG00000003141	myh7
ENSACLG00000003152	NA
ENSACLG00000003376	slc8a1a
ENSACLG00000003646	sptbn1
ENSACLG00000003867	fmnl1a
ENSACLG00000003918	avil
ENSACLG00000003952	myh10
ENSACLG00000004010	unc45b
ENSACLG00000004093	NA
ENSACLG00000004253	sept15
ENSACLG00000004401	flnca
ENSACLG00000004494	tmod4
ENSACLG00000004935	fam49al
ENSACLG00000005370	NA
ENSACLG00000005470	bves
ENSACLG00000005562	pls1
ENSACLG00000005868	cnn3a
ENSACLG00000005936	spire2
ENSACLG00000006498	fmnl3
ENSACLG00000007019	EPB41L2
ENSACLG00000007030	flncb
ENSACLG00000007329	epb41l3a
ENSACLG00000007396	sptb
ENSACLG00000008056	fam49a
ENSACLG00000008066	myo18aa
ENSACLG00000008339	epb41l3b
ENSACLG00000008700	dusp27
ENSACLG00000009182	FLNB
ENSACLG00000009206	capza1b
ENSACLG00000009288	phactr4a
ENSACLG00000009415	gsnb
ENSACLG00000009473	si:ch211-203d1.3
ENSACLG00000010251	rab25b
ENSACLG00000010949	pls3
ENSACLG00000011036	klhl41a
ENSACLG00000011141	sptan1
ENSACLG00000011214	ttc17
ENSACLG00000012379	klf6a
ENSACLG00000012517	phactr4b
ENSACLG00000012660	CAPZA2
ENSACLG00000012677	DIAPH1
ENSACLG00000013519	NA
ENSACLG00000013522	itga3b
ENSACLG00000013675	daam1b
ENSACLG00000013717	smyd1b
ENSACLG00000014652	wasla
ENSACLG00000014738	fmnl2a
ENSACLG00000015018	lcp1
ENSACLG00000015559	pgm5
ENSACLG00000015596	ache
ENSACLG00000015686	klf1
ENSACLG00000016007	NA
ENSACLG00000016275	ssh1b
ENSACLG00000016625	rock1
ENSACLG00000017550	spire1a
ENSACLG00000017782	fkrp
ENSACLG00000017825	desma
ENSACLG00000017958	sptbn4b
ENSACLG00000018048	kank2
ENSACLG00000018262	rab25a
ENSACLG00000018399	cfl1
ENSACLG00000018436	epb41a
ENSACLG00000018873	tmod2
ENSACLG00000019398	arpc4l
ENSACLG00000020043	lrrc39
ENSACLG00000020449	baiap2b
ENSACLG00000020531	arpc3
ENSACLG00000021067	twf2b
ENSACLG00000021682	mef2aa
ENSACLG00000021859	NA
ENSACLG00000021911	capza1a
ENSACLG00000021968	rock2b
ENSACLG00000022041	capzb
ENSACLG00000022055	ap1ar
ENSACLG00000022866	NA
ENSACLG00000023001	wash1
ENSACLG00000023006	diaph3
ENSACLG00000023059	kank3
ENSACLG00000023192	fam49ba
ENSACLG00000023290	cct5
ENSACLG00000023375	tfpi2
ENSACLG00000023622	NA
ENSACLG00000023632	hspd1
ENSACLG00000023873	cyfip1
ENSACLG00000024065	baiap2a
ENSACLG00000024379	NA
ENSACLG00000024447	arpc4
ENSACLG00000024934	si:dkey-178k16.1
ENSACLG00000025064	amotl2a
ENSACLG00000025129	smo
ENSACLG00000025374	fscn2a
ENSACLG00000025432	rock2a
ENSACLG00000025616	spire1b
ENSACLG00000025895	cx36.7
ENSACLG00000025914	xirp2a
ENSACLG00000026171	klhl41b
ENSACLG00000026485	wasf3b
ENSACLG00000026517	amotl2b
ENSACLG00000026644	evlb
ENSACLG00000026651	parvb
ENSACLG00000026720	NA
ENSACLG00000026750	daam2
ENSACLG00000026953	gsna
ENSACLG00000027025	kank1b
ENSACLG00000027218	vill
