gene_id	gene_name
ENSACLG00000000634	pfkmb
ENSACLG00000000690	NA
ENSACLG00000000703	NA
ENSACLG00000000901	pfkpb
ENSACLG00000001385	renbp
ENSACLG00000001527	NA
ENSACLG00000001693	pglyrp5
ENSACLG00000002537	pfkma
ENSACLG00000002920	hk2
ENSACLG00000005032	NA
ENSACLG00000005357	gpd1l
ENSACLG00000005504	eno3
ENSACLG00000005619	upp1
ENSACLG00000005703	aldoca
ENSACLG00000005900	eno4
ENSACLG00000007109	pkmb
ENSACLG00000007240	pde4ca
ENSACLG00000007664	cemip2
ENSACLG00000008020	galcb
ENSACLG00000008330	hk1
ENSACLG00000009037	ada2a
ENSACLG00000009346	aldob
ENSACLG00000009663	zgc:103586
ENSACLG00000009693	pde4ba
ENSACLG00000009790	gck
ENSACLG00000010329	gpd1c
ENSACLG00000012402	pfkpa
ENSACLG00000013003	gba2
ENSACLG00000013600	pde4bb
ENSACLG00000013866	upp2
ENSACLG00000015525	eno2
ENSACLG00000016011	pkma
ENSACLG00000016020	pde4d
ENSACLG00000016404	pfkla
ENSACLG00000017435	ngly1
ENSACLG00000017526	amdhd2
ENSACLG00000017912	gpib
ENSACLG00000018333	eno1b
ENSACLG00000018415	pde4a
ENSACLG00000019234	pde8a
ENSACLG00000019331	slc38a9
ENSACLG00000019877	gba
ENSACLG00000020155	sgsh
ENSACLG00000021318	insrb
ENSACLG00000021364	gapdhs
ENSACLG00000021501	gpia
ENSACLG00000021752	aldocb
ENSACLG00000022919	NA
ENSACLG00000024650	ENO2
ENSACLG00000024702	tpi1b
ENSACLG00000025352	NA
ENSACLG00000025753	scn1lab
ENSACLG00000026032	pde8b
ENSACLG00000026267	eno1a
ENSACLG00000027041	asah1b
