gene_id	gene_name
ENSACLG00000000277	NA
ENSACLG00000000287	NA
ENSACLG00000000353	si:dkey-224e22.2
ENSACLG00000000357	NA
ENSACLG00000000634	pfkmb
ENSACLG00000000658	ganc
ENSACLG00000000690	NA
ENSACLG00000000703	NA
ENSACLG00000000747	NA
ENSACLG00000000901	pfkpb
ENSACLG00000001151	enosf1
ENSACLG00000001198	PPP1CA
ENSACLG00000001385	renbp
ENSACLG00000001591	manba
ENSACLG00000001599	pgm1
ENSACLG00000001735	pfkfb2b
ENSACLG00000002184	uxs1
ENSACLG00000002486	galk1
ENSACLG00000002537	pfkma
ENSACLG00000002920	hk2
ENSACLG00000003139	akt1
ENSACLG00000003481	FUCA1
ENSACLG00000003619	G6PD
ENSACLG00000004222	NA
ENSACLG00000004483	NA
ENSACLG00000004679	fbp1a
ENSACLG00000005261	CHIA
ENSACLG00000005357	gpd1l
ENSACLG00000005504	eno3
ENSACLG00000005549	LCT
ENSACLG00000005555	gyg1a
ENSACLG00000005605	NA
ENSACLG00000005703	aldoca
ENSACLG00000005864	gusb
ENSACLG00000005900	eno4
ENSACLG00000005990	NA
ENSACLG00000006408	NA
ENSACLG00000006716	NA
ENSACLG00000006934	NA
ENSACLG00000007109	pkmb
ENSACLG00000007204	lancl2
ENSACLG00000007294	galm
ENSACLG00000007303	pck1
ENSACLG00000007332	gys1
ENSACLG00000007549	pygmb
ENSACLG00000008330	hk1
ENSACLG00000008986	man2b2
ENSACLG00000009346	aldob
ENSACLG00000009449	otog
ENSACLG00000009645	klb
ENSACLG00000009703	galk2
ENSACLG00000009724	lancl1
ENSACLG00000009790	gck
ENSACLG00000010057	man2b1
ENSACLG00000010126	NA
ENSACLG00000010217	pgm2l1
ENSACLG00000010302	ppp1cab
ENSACLG00000010329	gpd1c
ENSACLG00000010800	edem2
ENSACLG00000011967	NA
ENSACLG00000012129	NA
ENSACLG00000012177	ppp1cbl
ENSACLG00000012402	pfkpa
ENSACLG00000012543	pgghg
ENSACLG00000013003	gba2
ENSACLG00000013565	edem1
ENSACLG00000013584	NA
ENSACLG00000013764	chst11
ENSACLG00000013989	fggy
ENSACLG00000014584	SPAM1
ENSACLG00000014630	hyal4
ENSACLG00000014770	NA
ENSACLG00000015121	pdha1b
ENSACLG00000015185	lctlb
ENSACLG00000015525	eno2
ENSACLG00000016011	pkma
ENSACLG00000016318	ganab
ENSACLG00000016322	NA
ENSACLG00000016404	pfkla
ENSACLG00000016773	b4galt7
ENSACLG00000016825	hexa
ENSACLG00000016831	pck2
ENSACLG00000016993	xylb
ENSACLG00000017052	pth1r
ENSACLG00000017127	pfkfb1
ENSACLG00000017213	man2c1
ENSACLG00000017403	ydjc
ENSACLG00000017526	amdhd2
ENSACLG00000017912	gpib
ENSACLG00000018333	eno1b
ENSACLG00000018422	NA
ENSACLG00000018627	pdha1a
ENSACLG00000019236	pfkfb4a
ENSACLG00000019331	slc38a9
ENSACLG00000019567	hdac8
ENSACLG00000019569	pygma
ENSACLG00000019794	phka2
ENSACLG00000020234	chst7
ENSACLG00000020411	spata20
ENSACLG00000020511	nagk
ENSACLG00000020794	idua
ENSACLG00000020808	glb1
ENSACLG00000021318	insrb
ENSACLG00000021364	gapdhs
ENSACLG00000021413	b4galt6
ENSACLG00000021501	gpia
ENSACLG00000021531	phkb
ENSACLG00000021561	gys2
ENSACLG00000021566	pgls
ENSACLG00000021706	NA
ENSACLG00000021752	aldocb
ENSACLG00000022072	gcgrb
ENSACLG00000022476	agla
ENSACLG00000022514	otogl
ENSACLG00000022849	gcgra
ENSACLG00000023528	nr4a1
ENSACLG00000023905	slc3a1
ENSACLG00000023928	mpi
ENSACLG00000024244	casd1
ENSACLG00000024317	pdk4
ENSACLG00000024396	pfkfb4b
ENSACLG00000024497	gbe1b
ENSACLG00000024650	ENO2
ENSACLG00000024702	tpi1b
ENSACLG00000025100	g6pca.2
ENSACLG00000025304	PPP1CB
ENSACLG00000025352	NA
ENSACLG00000025465	galt
ENSACLG00000025753	scn1lab
ENSACLG00000025950	b4galt5
ENSACLG00000026267	eno1a
ENSACLG00000026535	ugp2b
ENSACLG00000026652	dgat2
ENSACLG00000026824	NA
ENSACLG00000026871	b3gat1b
ENSACLG00000026988	cyp2r1
ENSACLG00000027007	fbp1b
ENSACLG00000027360	gyg1b
ENSACLG00000027386	man1b1a
ENSACLG00000027420	hexb
ENSACLG00000027827	man2a2
