gene_id	gene_name
ENSACLG00000001568	stim1a
ENSACLG00000002179	tax1bp3
ENSACLG00000002369	robo3
ENSACLG00000002541	NA
ENSACLG00000002652	NA
ENSACLG00000003075	stat3
ENSACLG00000004008	fam53b
ENSACLG00000006020	pigp
ENSACLG00000006165	NTN1
ENSACLG00000006365	dvl3a
ENSACLG00000006752	tnc
ENSACLG00000007683	tmem67
ENSACLG00000008496	fn1a
ENSACLG00000008796	slit3
ENSACLG00000009564	plcd4a
ENSACLG00000009866	tbxta
ENSACLG00000010742	PIK3CA
ENSACLG00000011479	myo10l1
ENSACLG00000012393	ubap1
ENSACLG00000013554	bbs4
ENSACLG00000013961	tardbp
ENSACLG00000017272	isl1
ENSACLG00000017874	casp9
ENSACLG00000018402	katna1
ENSACLG00000018610	fus
ENSACLG00000018659	NTN1
ENSACLG00000019192	akap12b
ENSACLG00000019262	isl2a
ENSACLG00000020142	ap1g2
ENSACLG00000020251	ret
ENSACLG00000020730	eaf2
ENSACLG00000021741	cxcr4a
ENSACLG00000021993	swap70b
ENSACLG00000022188	grnb
ENSACLG00000022737	tmem59l
ENSACLG00000022868	itga5
ENSACLG00000023119	nos1
ENSACLG00000023426	mpzl1l
ENSACLG00000023501	sema5a
ENSACLG00000023743	pcdh17
ENSACLG00000024745	wnt4
ENSACLG00000025198	ryk
ENSACLG00000025412	ist1
ENSACLG00000025714	kif1b
ENSACLG00000025926	clstn1
ENSACLG00000026395	plxnb1b
ENSACLG00000026550	wnt5b
ENSACLG00000026909	mycbp2
ENSACLG00000026947	chrna1
ENSACLG00000027041	asah1b
ENSACLG00000027679	glis2b
