gene_id	gene_name
ENSACLG00000000385	fhl1a
ENSACLG00000000589	dnajb6a
ENSACLG00000000624	pleca
ENSACLG00000001872	tcap
ENSACLG00000002267	NA
ENSACLG00000002345	vcp
ENSACLG00000003503	abhd12
ENSACLG00000003960	KIF2A
ENSACLG00000005391	otofb
ENSACLG00000005750	micall2b
ENSACLG00000008156	gnb5a
ENSACLG00000008238	snap25a
ENSACLG00000008961	syngap1b
ENSACLG00000009594	fhl1b
ENSACLG00000009697	sv2a
ENSACLG00000011036	klhl41a
ENSACLG00000011861	NA
ENSACLG00000012029	lgi1a
ENSACLG00000012153	nop56
ENSACLG00000012229	gabra1
ENSACLG00000012432	chata
ENSACLG00000013295	wfs1b
ENSACLG00000013440	hdac6
ENSACLG00000013880	abcd1
ENSACLG00000013961	tardbp
ENSACLG00000014846	NA
ENSACLG00000015371	nr1d1
ENSACLG00000015505	cyp20a1
ENSACLG00000016160	opn4.1
ENSACLG00000016249	panx1b
ENSACLG00000016270	park7
ENSACLG00000017438	camk1gb
ENSACLG00000017825	desma
ENSACLG00000018100	slc26a2
ENSACLG00000018790	sqstm1
ENSACLG00000019877	gba
ENSACLG00000020155	sgsh
ENSACLG00000020178	tdp1
ENSACLG00000020255	cdkl5
ENSACLG00000020717	atoh7
ENSACLG00000020738	atp1a3a
ENSACLG00000020892	opa3
ENSACLG00000020960	nus1
ENSACLG00000021317	slc6a9
ENSACLG00000021519	vapb
ENSACLG00000022006	ambra1b
ENSACLG00000022202	C9orf72
ENSACLG00000022210	sin3b
ENSACLG00000022562	psd2
ENSACLG00000023399	per2
ENSACLG00000024963	sap130a
ENSACLG00000025753	scn1lab
ENSACLG00000026171	klhl41b
ENSACLG00000026321	ca6
ENSACLG00000026638	hdac10
ENSACLG00000027041	asah1b
