"source"	"stage"	"term_name"	"adjusted_p_value"
"GO:BP"	"3dpf"	"developmental process"	1.76973575200551e-42
"GO:BP"	"3dpf"	"anatomical structure development"	8.37870895727558e-41
"GO:BP"	"3dpf"	"multicellular organism development"	4.84272727584108e-34
"GO:BP"	"3dpf"	"system development"	2.04438043850335e-27
"GO:BP"	"3dpf"	"multicellular organismal process"	2.31172144782699e-24
"GO:BP"	"3dpf"	"anatomical structure morphogenesis"	1.07526165986652e-23
"GO:BP"	"3dpf"	"cell differentiation"	3.5838945820995e-20
"GO:BP"	"3dpf"	"cellular developmental process"	3.5838945820995e-20
"GO:BP"	"3dpf"	"animal organ development"	7.50252193958377e-20
"GO:BP"	"3dpf"	"tissue development"	2.37409340446389e-15
"GO:BP"	"3dpf"	"cell development"	1.88345630759461e-14
"GO:BP"	"3dpf"	"embryo development"	1.17680919842894e-12
"GO:BP"	"3dpf"	"nervous system development"	4.05282941680613e-12
"GO:BP"	"3dpf"	"transport"	4.67069503888065e-11
"GO:BP"	"3dpf"	"establishment of localization"	1.38006590880254e-10
"GO:BP"	"3dpf"	"localization"	3.15680466461024e-10
"GO:BP"	"3dpf"	"anatomical structure formation involved in morphogenesis"	1.60744926552315e-09
"GO:BP"	"3dpf"	"DNA-templated transcription"	4.08539683729203e-09
"GO:BP"	"3dpf"	"embryonic morphogenesis"	4.53943853749779e-09
"GO:BP"	"3dpf"	"regulation of nucleobase-containing compound metabolic process"	4.82717699224322e-09
"GO:BP"	"3dpf"	"circulatory system development"	7.05774004760147e-09
"GO:BP"	"3dpf"	"regulation of RNA metabolic process"	8.49118974047455e-09
"GO:BP"	"3dpf"	"regulation of primary metabolic process"	8.49118974047455e-09
"GO:BP"	"3dpf"	"neurogenesis"	1.28598278850883e-08
"GO:BP"	"3dpf"	"regulation of RNA biosynthetic process"	1.03046952452478e-07
"GO:BP"	"3dpf"	"regulation of DNA-templated transcription"	1.03046952452478e-07
"GO:BP"	"3dpf"	"epithelium development"	1.03046952452478e-07
"GO:BP"	"3dpf"	"animal organ morphogenesis"	1.03046952452478e-07
"GO:BP"	"3dpf"	"generation of neurons"	1.33787202521432e-07
"GO:BP"	"3dpf"	"neuron differentiation"	2.84242563308999e-07
"GO:BP"	"3dpf"	"plasma membrane bounded cell projection organization"	3.34748547489927e-07
"GO:BP"	"3dpf"	"tube development"	4.18013463294873e-07
"GO:BP"	"3dpf"	"regulation of developmental process"	6.76456436269345e-07
"GO:BP"	"3dpf"	"positive regulation of cellular process"	2.14770020287954e-06
"GO:BP"	"3dpf"	"neuron development"	2.9347750034872e-06
"GO:BP"	"3dpf"	"cell projection organization"	2.98824899924537e-06
"GO:BP"	"3dpf"	"embryonic organ development"	5.04751358633517e-06
"GO:BP"	"3dpf"	"monoatomic ion transmembrane transport"	1.06886352355676e-05
"GO:BP"	"3dpf"	"tissue morphogenesis"	1.42554498317195e-05
"GO:BP"	"3dpf"	"pattern specification process"	1.5342844420858e-05
"GO:BP"	"3dpf"	"transmembrane transport"	1.72547540250568e-05
"GO:BP"	"3dpf"	"regulation of cell communication"	1.73243467486703e-05
"GO:BP"	"3dpf"	"monoatomic ion transport"	1.97147038845369e-05
"GO:BP"	"3dpf"	"tube morphogenesis"	2.22341970099726e-05
"GO:BP"	"3dpf"	"regionalization"	2.71935994952736e-05
"GO:BP"	"3dpf"	"regulation of signal transduction"	4.24450388227438e-05
"GO:BP"	"3dpf"	"regulation of signaling"	4.69874009977798e-05
"GO:BP"	"3dpf"	"intracellular signal transduction"	7.9087668723768e-05
"GO:BP"	"3dpf"	"enzyme-linked receptor protein signaling pathway"	0.00010432120636213
"GO:BP"	"3dpf"	"muscle structure development"	0.00011326813350966
"GO:BP"	"3dpf"	"embryo development ending in birth or egg hatching"	0.00011326813350966
"GO:BP"	"3dpf"	"regulation of multicellular organismal process"	0.00011326813350966
"GO:BP"	"3dpf"	"chordate embryonic development"	0.000121790875228406
"GO:BP"	"3dpf"	"neuron projection development"	0.000160980547212392
"GO:BP"	"3dpf"	"vasculature development"	0.000170934971618896
"GO:BP"	"3dpf"	"morphogenesis of an epithelium"	0.000187269535387729
"GO:BP"	"3dpf"	"hemopoiesis"	0.000202692265914373
"GO:BP"	"3dpf"	"embryonic organ morphogenesis"	0.000203193637863095
"GO:BP"	"3dpf"	"skeletal system development"	0.000253961705103024
"GO:BP"	"3dpf"	"cell morphogenesis"	0.000257355898126505
"GO:BP"	"3dpf"	"heart development"	0.000269353591101764
"GO:BP"	"3dpf"	"homeostatic process"	0.000290760102535635
"GO:BP"	"3dpf"	"vesicle-mediated transport"	0.00034817043443624
"GO:BP"	"3dpf"	"sensory organ development"	0.000381696887801812
"GO:BP"	"3dpf"	"biological regulation"	0.000395806949445118
"GO:BP"	"3dpf"	"organelle assembly"	0.000505322868705998
"GO:BP"	"3dpf"	"phosphate-containing compound metabolic process"	0.000612925350994148
"GO:BP"	"3dpf"	"phosphorus metabolic process"	0.000612925350994148
"GO:BP"	"3dpf"	"organelle organization"	0.000695658025555781
"GO:BP"	"3dpf"	"sensory system development"	0.000723805922376991
"GO:BP"	"3dpf"	"cell surface receptor signaling pathway"	0.000723805922376991
"GO:BP"	"3dpf"	"cellular localization"	0.000799749073629162
"GO:BP"	"3dpf"	"axon development"	0.000800351657843077
"GO:BP"	"3dpf"	"cell morphogenesis involved in neuron differentiation"	0.000800351657843077
"GO:BP"	"3dpf"	"retina development in camera-type eye"	0.000898348530400484
"GO:BP"	"3dpf"	"cell projection morphogenesis"	0.00105296413465746
"GO:BP"	"3dpf"	"neuron projection morphogenesis"	0.00113408900426232
"GO:BP"	"3dpf"	"plasma membrane bounded cell projection morphogenesis"	0.00113408900426232
"GO:BP"	"3dpf"	"regulation of biological quality"	0.00143608374608581
"GO:BP"	"3dpf"	"establishment of localization in cell"	0.00153242064793505
"GO:BP"	"3dpf"	"multicellular organismal-level homeostasis"	0.00158298927079139
"GO:BP"	"3dpf"	"axonogenesis"	0.00160950536978789
"GO:BP"	"3dpf"	"gastrulation"	0.00171965204909645
"GO:BP"	"3dpf"	"blood vessel morphogenesis"	0.00182191784455308
"GO:BP"	"3dpf"	"blood vessel development"	0.00190680114051913
"GO:BP"	"3dpf"	"central nervous system development"	0.00222151952505346
"GO:BP"	"3dpf"	"intracellular signaling cassette"	0.00255238111698219
"GO:BP"	"3dpf"	"camera-type eye development"	0.00373438030169549
"GO:BP"	"3dpf"	"sensory organ morphogenesis"	0.00524471402370636
"GO:BP"	"3dpf"	"regulation of multicellular organismal development"	0.00528084270383682
"GO:BP"	"3dpf"	"camera-type eye morphogenesis"	0.00554943384916432
"GO:BP"	"3dpf"	"regulation of response to stimulus"	0.00554943384916432
"GO:BP"	"3dpf"	"positive regulation of nucleobase-containing compound metabolic process"	0.00558411002776737
"GO:BP"	"3dpf"	"intracellular transport"	0.00558411002776737
"GO:BP"	"3dpf"	"muscle cell differentiation"	0.00665908068923077
"GO:BP"	"3dpf"	"response to abiotic stimulus"	0.00666287388396047
"GO:BP"	"3dpf"	"inorganic ion transmembrane transport"	0.00672463595806336
"GO:BP"	"3dpf"	"cell surface receptor protein tyrosine kinase signaling pathway"	0.00791801112518744
"GO:BP"	"3dpf"	"positive regulation of RNA metabolic process"	0.00791801112518744
"GO:BP"	"3dpf"	"phosphorylation"	0.00803797758650355
"GO:BP"	"3dpf"	"cranial skeletal system development"	0.00855530413529409
"GO:BP"	"3dpf"	"growth"	0.00869066991739679
"GO:BP"	"3dpf"	"inorganic anion transport"	0.00933972591862962
"GO:BP"	"3dpf"	"nitrogen compound transport"	0.00974394615980151
"GO:BP"	"3dpf"	"muscle organ development"	0.0101051930043699
"GO:BP"	"3dpf"	"monoatomic anion transport"	0.0101051930043699
"GO:BP"	"3dpf"	"behavior"	0.0106992587660996
"GO:BP"	"3dpf"	"metal ion transport"	0.0107092075195229
"GO:BP"	"3dpf"	"monoatomic anion transmembrane transport"	0.0121763696343959
"GO:BP"	"3dpf"	"developmental growth"	0.0127873360223911
"GO:BP"	"3dpf"	"regulation of transcription by RNA polymerase II"	0.0128877477199104
"GO:BP"	"3dpf"	"circulatory system process"	0.0146819972985061
"GO:BP"	"3dpf"	"transcription by RNA polymerase II"	0.0152347586050631
"GO:BP"	"3dpf"	"connective tissue development"	0.0175327852283414
"GO:BP"	"3dpf"	"gland development"	0.0175327852283414
"GO:BP"	"3dpf"	"positive regulation of metabolic process"	0.0175327852283414
"GO:BP"	"3dpf"	"visual system development"	0.0180168097530884
"GO:BP"	"3dpf"	"eye development"	0.0180168097530884
"GO:BP"	"3dpf"	"specification of symmetry"	0.0180949556656819
"GO:BP"	"3dpf"	"determination of bilateral symmetry"	0.0180949556656819
"GO:BP"	"3dpf"	"angiogenesis"	0.0180949556656819
"GO:BP"	"3dpf"	"muscle cell development"	0.0183041544115326
"GO:BP"	"3dpf"	"regulation of cell differentiation"	0.0200651336760542
"GO:BP"	"3dpf"	"head development"	0.0202660715422727
"GO:BP"	"3dpf"	"regulation of metabolic process"	0.0227249117575004
"GO:BP"	"3dpf"	"striated muscle cell differentiation"	0.0242564314795286
"GO:BP"	"3dpf"	"cartilage development"	0.0242564314795286
"GO:BP"	"3dpf"	"positive regulation of macromolecule metabolic process"	0.024494859529869
"GO:BP"	"3dpf"	"positive regulation of DNA-templated transcription"	0.0252615429685244
"GO:BP"	"3dpf"	"positive regulation of RNA biosynthetic process"	0.0252615429685244
"GO:BP"	"3dpf"	"calcium ion transport"	0.0252615429685244
"GO:BP"	"3dpf"	"anterior/posterior pattern specification"	0.0257935271490944
"GO:BP"	"3dpf"	"cilium organization"	0.0257935271490944
"GO:BP"	"3dpf"	"skeletal system morphogenesis"	0.0257935271490944
"GO:BP"	"3dpf"	"positive regulation of biosynthetic process"	0.027825977234154
"GO:BP"	"3dpf"	"regulation of intracellular signal transduction"	0.027825977234154
"GO:BP"	"3dpf"	"brain development"	0.0294169525240943
"GO:BP"	"3dpf"	"cellular process"	0.0298254743592824
"GO:BP"	"3dpf"	"cell projection assembly"	0.0298254743592824
"GO:BP"	"3dpf"	"positive regulation of macromolecule biosynthetic process"	0.0321650280560319
"GO:BP"	"3dpf"	"muscle tissue development"	0.0343935359301362
"GO:BP"	"3dpf"	"plasma membrane bounded cell projection assembly"	0.0347070199543713
"GO:BP"	"3dpf"	"striated muscle tissue development"	0.0373634444401632
"GO:BP"	"3dpf"	"monoatomic cation transmembrane transport"	0.0389529101248578
"GO:BP"	"3dpf"	"catabolic process"	0.0414286028915687
"GO:BP"	"3dpf"	"convergent extension"	0.0427311199574154
"GO:BP"	"3dpf"	"inorganic anion transmembrane transport"	0.0427311199574154
"GO:BP"	"3dpf"	"left/right pattern formation"	0.0427311199574154
"GO:BP"	"3dpf"	"embryonic skeletal system development"	0.0427311199574154
"GO:BP"	"3dpf"	"eye morphogenesis"	0.0427311199574154
"GO:BP"	"3dpf"	"secretion"	0.0427311199574154
"GO:BP"	"3dpf"	"regulation of anatomical structure morphogenesis"	0.0427311199574154
"GO:BP"	"3dpf"	"phospholipid metabolic process"	0.0455854472397516
"GO:BP"	"3dpf"	"cilium assembly"	0.0455854472397516
"GO:BP"	"3dpf"	"determination of left/right symmetry"	0.0455854472397516
"GO:BP"	"3dpf"	"hepaticobiliary system development"	0.0460754323100049
"GO:BP"	"7dpf"	"developmental process"	3.79361959908252e-59
"GO:BP"	"7dpf"	"anatomical structure development"	2.89806446584277e-57
"GO:BP"	"7dpf"	"multicellular organism development"	5.2788047541944e-49
"GO:BP"	"7dpf"	"system development"	7.91026577568995e-40
