"term_id"	"term_name"	"adjusted_p_value"	"Intersection_size"	"Genes"	"stage"
"GO:0006810"	"transport"	4.67069503888065e-11	10	"ENSACLG00000009697,ENSACLG00000008238,ENSACLG00000020960,ENSACLG00000017825,ENSACLG00000021317,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000025753"	"3dpf"
"GO:0007275"	"multicellular organism development"	4.84272727584108e-34	30	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000008961,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000012029,ENSACLG00000003503,ENSACLG00000020717,ENSACLG00000020960,ENSACLG00000023399,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000022562,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000014846,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000011861,ENSACLG00000027041,ENSACLG00000022006"	"3dpf"
"GO:0007399"	"nervous system development"	4.05282941680613e-12	20	"ENSACLG00000020255,ENSACLG00000008961,ENSACLG00000003960,ENSACLG00000012029,ENSACLG00000003503,ENSACLG00000020717,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000024963,ENSACLG00000014846,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000027041"	"3dpf"
"GO:0007517"	"muscle organ development"	0.0101051930043699	10	"ENSACLG00000009594,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000000589,ENSACLG00000000385,ENSACLG00000000624,ENSACLG00000026171,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000022006"	"3dpf"
"GO:0007610"	"behavior"	0.0106992587660996	56	"ENSACLG00000020178,ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000012229,ENSACLG00000019877,ENSACLG00000008961,ENSACLG00000009697,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000012029,ENSACLG00000012432,ENSACLG00000003503,ENSACLG00000020717,ENSACLG00000020892,ENSACLG00000008238,ENSACLG00000020960,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000016160,ENSACLG00000023399,ENSACLG00000021317,ENSACLG00000000589,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000022562,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000017438,ENSACLG00000026321,ENSACLG00000020738,ENSACLG00000000624,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000015505,ENSACLG00000025753,ENSACLG00000026171,ENSACLG00000014846,ENSACLG00000015371,ENSACLG00000001872,ENSACLG00000021519,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000016249,ENSACLG00000020155,ENSACLG00000011861,ENSACLG00000027041,ENSACLG00000005750,ENSACLG00000022006,ENSACLG00000026638,ENSACLG00000008156"	"3dpf"
"GO:0009653"	"anatomical structure morphogenesis"	1.07526165986652e-23	22	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000008961,ENSACLG00000002345,ENSACLG00000003503,ENSACLG00000020717,ENSACLG00000020960,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000023399,ENSACLG00000022202,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000024963,ENSACLG00000026171,ENSACLG00000013961,ENSACLG00000012153,ENSACLG00000011861,ENSACLG00000027041"	"3dpf"
"GO:0009888"	"tissue development"	2.37409340446389e-15	18	"ENSACLG00000020255,ENSACLG00000002345,ENSACLG00000003503,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000000589,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000022562,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000000624,ENSACLG00000024963,ENSACLG00000026171,ENSACLG00000014846,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000022006"	"3dpf"
"GO:0009987"	"cellular process"	0.0298254743592824	47	"ENSACLG00000020255,ENSACLG00000009594,ENSACLG00000012229,ENSACLG00000019877,ENSACLG00000008961,ENSACLG00000009697,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000012029,ENSACLG00000003503,ENSACLG00000020717,ENSACLG00000008238,ENSACLG00000020960,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000016160,ENSACLG00000023399,ENSACLG00000021317,ENSACLG00000000589,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000022562,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000020738,ENSACLG00000000624,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000025753,ENSACLG00000026171,ENSACLG00000014846,ENSACLG00000015371,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000020155,ENSACLG00000011861,ENSACLG00000027041,ENSACLG00000022006,ENSACLG00000026638,ENSACLG00000008156"	"3dpf"
"GO:0014706"	"striated muscle tissue development"	0.0373634444401632	10	"ENSACLG00000002345,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000000589,ENSACLG00000000385,ENSACLG00000000624,ENSACLG00000026171,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000022006"	"3dpf"
"GO:0019222"	"regulation of metabolic process"	0.0227249117575004	14	"ENSACLG00000019877,ENSACLG00000002345,ENSACLG00000023399,ENSACLG00000018790,ENSACLG00000013440,ENSACLG00000022210,ENSACLG00000024963,ENSACLG00000025753,ENSACLG00000014846,ENSACLG00000015371,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000027041,ENSACLG00000026638"	"3dpf"
"GO:0022008"	"neurogenesis"	1.28598278850883e-08	14	"ENSACLG00000020255,ENSACLG00000003960,ENSACLG00000020717,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000013880,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000027041"	"3dpf"
"GO:0030154"	"cell differentiation"	3.5838945820995e-20	23	"ENSACLG00000020255,ENSACLG00000002345,ENSACLG00000003960,ENSACLG00000020717,ENSACLG00000011036,ENSACLG00000017825,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000000385,ENSACLG00000013440,ENSACLG00000013880,ENSACLG00000026171,ENSACLG00000015371,ENSACLG00000001872,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000027041,ENSACLG00000022006"	"3dpf"
"GO:0030182"	"neuron differentiation"	2.84242563308999e-07	12	"ENSACLG00000020255,ENSACLG00000003960,ENSACLG00000022202,ENSACLG00000005391,ENSACLG00000018100,ENSACLG00000018790,ENSACLG00000002267,ENSACLG00000013295,ENSACLG00000013961,ENSACLG00000016270,ENSACLG00000012153,ENSACLG00000027041"	"3dpf"
