"term_name"	"stage"
"monoatomic ion transmembrane transporter activity"	"3dpf"
"adenyl nucleotide binding"	"3dpf"
"transporter activity"	"3dpf"
"adenyl ribonucleotide binding"	"3dpf"
"ATP binding"	"3dpf"
"transmembrane transporter activity"	"3dpf"
"monoatomic ion channel activity"	"3dpf"
"passive transmembrane transporter activity"	"3dpf"
"channel activity"	"3dpf"
"inorganic molecular entity transmembrane transporter activity"	"3dpf"
"nucleoside-triphosphatase regulator activity"	"3dpf"
"monoatomic cation transmembrane transporter activity"	"3dpf"
"GTPase regulator activity"	"3dpf"
"transcription regulator activity"	"3dpf"
"gated channel activity"	"3dpf"
"heterocyclic compound binding"	"3dpf"
"anion binding"	"3dpf"
"calcium ion binding"	"3dpf"
"molecular adaptor activity"	"3dpf"
"carbohydrate derivative binding"	"3dpf"
"ligase activity"	"3dpf"
"inorganic cation transmembrane transporter activity"	"3dpf"
"metal ion transmembrane transporter activity"	"3dpf"
"nucleoside phosphate binding"	"3dpf"
"transferase activity, transferring phosphorus-containing groups"	"3dpf"
"DNA-binding transcription factor activity"	"3dpf"
"nucleotide binding"	"3dpf"
"guanyl-nucleotide exchange factor activity"	"3dpf"
"protein-macromolecule adaptor activity"	"3dpf"
"ATP-dependent activity"	"3dpf"
"enzyme regulator activity"	"3dpf"
"protein tyrosine kinase activity"	"3dpf"
"lipid binding"	"3dpf"
"purine nucleotide binding"	"3dpf"
"kinase activity"	"3dpf"
"phospholipid binding"	"3dpf"
"inorganic anion transmembrane transporter activity"	"3dpf"
"monoatomic cation channel activity"	"3dpf"
"ATP hydrolysis activity"	"3dpf"
"monoatomic anion transmembrane transporter activity"	"3dpf"
"ribonucleotide binding"	"3dpf"
"purine ribonucleoside triphosphate binding"	"3dpf"
"catalytic activity, acting on a protein"	"3dpf"
"purine ribonucleotide binding"	"3dpf"
"cytoskeletal protein binding"	"3dpf"
"catalytic activity"	"3dpf"
"transmembrane receptor protein kinase activity"	"3dpf"
"phosphotransferase activity, alcohol group as acceptor"	"3dpf"
"ligand-gated channel activity"	"3dpf"
"enzyme activator activity"	"3dpf"
"ligand-gated monoatomic ion channel activity"	"3dpf"
"catalytic activity, acting on RNA"	"3dpf"
"phosphoric ester hydrolase activity"	"3dpf"
"acyltransferase activity, transferring groups other than amino-acyl groups"	"3dpf"
"voltage-gated channel activity"	"3dpf"
"protein binding"	"3dpf"
"extracellular ligand-gated monoatomic ion channel activity"	"3dpf"
"voltage-gated monoatomic ion channel activity"	"3dpf"
"molecular function regulator activity"	"3dpf"
"transmembrane receptor protein tyrosine kinase activity"	"3dpf"
"GTPase activator activity"	"3dpf"
"chloride transmembrane transporter activity"	"3dpf"
"DNA-binding transcription factor activity, RNA polymerase II-specific"	"3dpf"
"protein kinase activity"	"3dpf"
"transcription coregulator activity"	"3dpf"
"catalytic activity, acting on a nucleic acid"	"3dpf"
"transferase activity"	"3dpf"
"ribonucleoside triphosphate phosphatase activity"	"3dpf"
"enzyme binding"	"3dpf"
"developmental process"	"3dpf"
"anatomical structure development"	"3dpf"
"multicellular organism development"	"3dpf"
"system development"	"3dpf"
"multicellular organismal process"	"3dpf"
"anatomical structure morphogenesis"	"3dpf"
"cell differentiation"	"3dpf"
"cellular developmental process"	"3dpf"
"animal organ development"	"3dpf"
"tissue development"	"3dpf"
"cell development"	"3dpf"
"embryo development"	"3dpf"
"nervous system development"	"3dpf"
"transport"	"3dpf"
"establishment of localization"	"3dpf"
"localization"	"3dpf"
"anatomical structure formation involved in morphogenesis"	"3dpf"
"DNA-templated transcription"	"3dpf"
"embryonic morphogenesis"	"3dpf"
"regulation of nucleobase-containing compound metabolic process"	"3dpf"
"circulatory system development"	"3dpf"
"regulation of RNA metabolic process"	"3dpf"
"regulation of primary metabolic process"	"3dpf"
"neurogenesis"	"3dpf"
"regulation of RNA biosynthetic process"	"3dpf"
"regulation of DNA-templated transcription"	"3dpf"
"epithelium development"	"3dpf"
"animal organ morphogenesis"	"3dpf"
"generation of neurons"	"3dpf"
"neuron differentiation"	"3dpf"
"plasma membrane bounded cell projection organization"	"3dpf"
"tube development"	"3dpf"
"regulation of developmental process"	"3dpf"
"positive regulation of cellular process"	"3dpf"
"neuron development"	"3dpf"
"cell projection organization"	"3dpf"
"embryonic organ development"	"3dpf"
"monoatomic ion transmembrane transport"	"3dpf"
"tissue morphogenesis"	"3dpf"
"pattern specification process"	"3dpf"
"transmembrane transport"	"3dpf"
"regulation of cell communication"	"3dpf"
"monoatomic ion transport"	"3dpf"
"tube morphogenesis"	"3dpf"
"regionalization"	"3dpf"
"regulation of signal transduction"	"3dpf"
"regulation of signaling"	"3dpf"
"intracellular signal transduction"	"3dpf"
"enzyme-linked receptor protein signaling pathway"	"3dpf"
"muscle structure development"	"3dpf"
"embryo development ending in birth or egg hatching"	"3dpf"
"regulation of multicellular organismal process"	"3dpf"
"chordate embryonic development"	"3dpf"
"neuron projection development"	"3dpf"
"vasculature development"	"3dpf"
"morphogenesis of an epithelium"	"3dpf"
"hemopoiesis"	"3dpf"
"embryonic organ morphogenesis"	"3dpf"
"skeletal system development"	"3dpf"
"cell morphogenesis"	"3dpf"
"heart development"	"3dpf"
"homeostatic process"	"3dpf"
