"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","postsynaptic signal transduction","GO:0098926","0.21766499805060088","0.6622114027257253","6","20","1","9107","ENSACLG00000026976"
"GO:BP","cAMP biosynthetic process","GO:0006171","0.21766499805060088","0.6622114027257253","6","20","1","9107","ENSACLG00000005651"
"GO:BP","COPII vesicle coating","GO:0048208","0.21766499805060088","0.6622114027257253","2","20","1","9107","ENSACLG00000027914"
"GO:BP","regulation of mitotic metaphase/anaphase transition","GO:0030071","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000015929"
"GO:BP","hexose biosynthetic process","GO:0019319","0.21766499805060088","0.6622114027257253","8","20","1","9107","ENSACLG00000016831"
"GO:BP","NLS-bearing protein import into nucleus","GO:0006607","0.21766499805060088","0.6622114027257253","1","20","1","9107","ENSACLG00000026976"
"GO:BP","vesicle budding from membrane","GO:0006900","0.21766499805060088","0.6622114027257253","8","20","1","9107","ENSACLG00000027914"
"GO:BP","bile acid and bile salt transport","GO:0015721","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000026372"
"GO:BP","vesicle coating","GO:0006901","0.21766499805060088","0.6622114027257253","3","20","1","9107","ENSACLG00000027914"
"GO:BP","vesicle targeting","GO:0006903","0.21766499805060088","0.6622114027257253","8","20","1","9107","ENSACLG00000027914"
"GO:BP","defense response to Gram-negative bacterium","GO:0050829","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000023768"
"GO:BP","chromosome segregation","GO:0007059","0.21766499805060088","0.6622114027257253","56","20","2","9107","ENSACLG00000004831,ENSACLG00000015929"
"GO:BP","metaphase/anaphase transition of mitotic cell cycle","GO:0007091","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000015929"
"GO:BP","organelle localization","GO:0051640","0.21766499805060088","0.6622114027257253","77","20","2","9107","ENSACLG00000005651,ENSACLG00000027914"
"GO:BP","vesicle localization","GO:0051648","0.21766499805060088","0.6622114027257253","41","20","2","9107","ENSACLG00000005651,ENSACLG00000027914"
"GO:BP","regulation of metaphase/anaphase transition of cell cycle","GO:1902099","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000015929"
"GO:BP","vesicle targeting, rough ER to cis-Golgi","GO:0048207","0.21766499805060088","0.6622114027257253","2","20","1","9107","ENSACLG00000027914"
"GO:BP","gluconeogenesis","GO:0006094","0.21766499805060088","0.6622114027257253","8","20","1","9107","ENSACLG00000016831"
"GO:BP","COPII-coated vesicle budding","GO:0090114","0.21766499805060088","0.6622114027257253","3","20","1","9107","ENSACLG00000027914"
"GO:BP","regulation of chromosome segregation","GO:0051983","0.21766499805060088","0.6622114027257253","8","20","1","9107","ENSACLG00000015929"
"GO:BP","vesicle targeting, to, from or within Golgi","GO:0048199","0.21766499805060088","0.6622114027257253","4","20","1","9107","ENSACLG00000027914"
"GO:BP","metaphase/anaphase transition of cell cycle","GO:0044784","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000015929"
"GO:BP","regulation of sister chromatid segregation","GO:0033045","0.21766499805060088","0.6622114027257253","7","20","1","9107","ENSACLG00000015929"
"GO:BP","postsynapse to nucleus signaling pathway","GO:0099527","0.21766499805060088","0.6622114027257253","1","20","1","9107","ENSACLG00000026976"
"GO:BP","monosaccharide biosynthetic process","GO:0046364","0.21766499805060088","0.6622114027257253","8","20","1","9107","ENSACLG00000016831"
"GO:BP","regulation of chromosome organization","GO:0033044","0.23520975649283304","0.6285446677016829","9","20","1","9107","ENSACLG00000015929"
"GO:BP","nuclear chromosome segregation","GO:0098813","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000015929"
"GO:BP","leukocyte cell-cell adhesion","GO:0007159","0.23621556483779854","0.62669148902371","32","20","1","9107","ENSACLG00000011760"
"GO:BP","adrenergic receptor signaling pathway","GO:0071875","0.23621556483779854","0.62669148902371","19","20","1","9107","ENSACLG00000018243"
"GO:BP","cellular response to lipopolysaccharide","GO:0071222","0.23621556483779854","0.62669148902371","30","20","1","9107","ENSACLG00000011760"
"GO:BP","cellular response to molecule of bacterial origin","GO:0071219","0.23621556483779854","0.62669148902371","30","20","1","9107","ENSACLG00000011760"
"GO:BP","cell cycle","GO:0007049","0.23621556483779854","0.62669148902371","189","20","2","9107","ENSACLG00000004831,ENSACLG00000015929"
"GO:BP","regulation of mitotic cell cycle phase transition","GO:1901990","0.23621556483779854","0.62669148902371","13","20","1","9107","ENSACLG00000015929"
"GO:BP","cellular response to biotic stimulus","GO:0071216","0.23621556483779854","0.62669148902371","33","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of leukocyte activation","GO:0002696","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of leukocyte activation","GO:0002695","0.23621556483779854","0.62669148902371","32","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of leukocyte proliferation","GO:0070663","0.23621556483779854","0.62669148902371","34","20","1","9107","ENSACLG00000011760"
"GO:BP","endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888","0.23621556483779854","0.62669148902371","25","20","1","9107","ENSACLG00000027914"
"GO:BP","leukocyte proliferation","GO:0070661","0.23621556483779854","0.62669148902371","35","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of cell cycle phase transition","GO:1901987","0.23621556483779854","0.62669148902371","22","20","1","9107","ENSACLG00000015929"
"GO:BP","cyclic purine nucleotide metabolic process","GO:0052652","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000005651"
"GO:BP","protein import into nucleus","GO:0006606","0.23621556483779854","0.62669148902371","20","20","1","9107","ENSACLG00000026976"
"GO:BP","adenylate cyclase-activating G protein-coupled receptor signaling pathway","GO:0007189","0.23621556483779854","0.62669148902371","26","20","1","9107","ENSACLG00000005651"
"GO:BP","pigment granule localization","GO:0051875","0.23621556483779854","0.62669148902371","14","20","1","9107","ENSACLG00000005651"
"GO:BP","response to molecule of bacterial origin","GO:0002237","0.23621556483779854","0.62669148902371","33","20","1","9107","ENSACLG00000011760"
"GO:BP","glucose metabolic process","GO:0006006","0.23621556483779854","0.62669148902371","20","20","1","9107","ENSACLG00000016831"
"GO:BP","positive regulation of leukocyte proliferation","GO:0070665","0.23621556483779854","0.62669148902371","28","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of leukocyte proliferation","GO:0070664","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","sister chromatid segregation","GO:0000819","0.23621556483779854","0.62669148902371","14","20","1","9107","ENSACLG00000015929"
"GO:BP","single fertilization","GO:0007338","0.23621556483779854","0.62669148902371","14","20","1","9107","ENSACLG00000017032"
"GO:BP","T cell proliferation","GO:0042098","0.23621556483779854","0.62669148902371","33","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of T cell proliferation","GO:0042102","0.23621556483779854","0.62669148902371","26","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of T cell proliferation","GO:0042129","0.23621556483779854","0.62669148902371","32","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of T cell proliferation","GO:0042130","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of canonical NF-kappaB signal transduction","GO:0043122","0.23621556483779854","0.62669148902371","17","20","1","9107","ENSACLG00000015929"
"GO:BP","positive regulation of canonical NF-kappaB signal transduction","GO:0043123","0.23621556483779854","0.62669148902371","11","20","1","9107","ENSACLG00000015929"
"GO:BP","positive regulation of T cell activation","GO:0050870","0.23621556483779854","0.62669148902371","26","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of T cell activation","GO:0050868","0.23621556483779854","0.62669148902371","30","20","1","9107","ENSACLG00000011760"
"GO:BP","cell cycle phase transition","GO:0044770","0.23621556483779854","0.62669148902371","28","20","1","9107","ENSACLG00000015929"
"GO:BP","mitotic cell cycle phase transition","GO:0044772","0.23621556483779854","0.62669148902371","19","20","1","9107","ENSACLG00000015929"
"GO:BP","positive regulation of cell adhesion","GO:0045785","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","cAMP metabolic process","GO:0046058","0.23621556483779854","0.62669148902371","15","20","1","9107","ENSACLG00000005651"
"GO:BP","lymphocyte proliferation","GO:0046651","0.23621556483779854","0.62669148902371","35","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of cellular process","GO:0048522","0.23621556483779854","0.62669148902371","404","20","3","9107","ENSACLG00000013033,ENSACLG00000015929,ENSACLG00000011760"
"GO:BP","positive regulation of cell activation","GO:0050867","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of lymphocyte proliferation","GO:0050670","0.23621556483779854","0.62669148902371","34","20","1","9107","ENSACLG00000011760"
"GO:BP","positive regulation of lymphocyte proliferation","GO:0050671","0.23621556483779854","0.62669148902371","28","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of lymphocyte proliferation","GO:0050672","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of T cell activation","GO:0050863","0.23621556483779854","0.62669148902371","34","20","1","9107","ENSACLG00000011760"
"GO:BP","protein localization to nucleus","GO:0034504","0.23621556483779854","0.62669148902371","21","20","1","9107","ENSACLG00000026976"
"GO:BP","canonical NF-kappaB signal transduction","GO:0007249","0.23621556483779854","0.62669148902371","18","20","1","9107","ENSACLG00000015929"
"GO:BP","cellular pigmentation","GO:0033059","0.23621556483779854","0.62669148902371","16","20","1","9107","ENSACLG00000005651"
"GO:BP","negative regulation of mononuclear cell proliferation","GO:0032945","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000011760"
"GO:BP","regulation of mitotic cell cycle","GO:0007346","0.23621556483779854","0.62669148902371","27","20","1","9107","ENSACLG00000015929"
"GO:BP","cyclic nucleotide metabolic process","GO:0009187","0.23621556483779854","0.62669148902371","29","20","1","9107","ENSACLG00000005651"
"GO:BP","cyclic nucleotide biosynthetic process","GO:0009190","0.23621556483779854","0.62669148902371","19","20","1","9107","ENSACLG00000005651"
"GO:BP","fertilization","GO:0009566","0.23621556483779854","0.62669148902371","14","20","1","9107","ENSACLG00000017032"
"GO:BP","response to bacterium","GO:0009617","0.23621556483779854","0.62669148902371","162","20","2","9107","ENSACLG00000023768,ENSACLG00000011760"
"GO:BP","positive regulation of lymphocyte activation","GO:0051251","0.23621556483779854","0.62669148902371","28","20","1","9107","ENSACLG00000011760"
"GO:BP","negative regulation of lymphocyte activation","GO:0051250","0.23621556483779854","0.62669148902371","31","20","1","9107","ENSACLG00000011760"
"GO:BP","organic hydroxy compound transport","GO:0015850","0.23621556483779854","0.62669148902371","30","20","1","9107","ENSACLG00000026372"
"GO:BP","vesicle organization","GO:0016050","0.23621556483779854","0.62669148902371","30","20","1","9107","ENSACLG00000027914"
"GO:BP","carbohydrate biosynthetic process","GO:0016051","0.23621556483779854","0.62669148902371","21","20","1","9107","ENSACLG00000016831"
"GO:BP","import into nucleus","GO:0051170","0.23621556483779854","0.62669148902371","20","20","1","9107","ENSACLG00000026976"
"GO:BP","cell cycle process","GO:0022402","0.23621556483779854","0.62669148902371","126","20","2","9107","ENSACLG00000004831,ENSACLG00000015929"
"GO:BP","positive regulation of cell-cell adhesion","GO:0022409","0.23621556483779854","0.62669148902371","26","20","1","9107","ENSACLG00000011760"
