"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of cellular process","GO:0050794","true","0.0014257948827181375","2.845942948334814","3514","51","36","9107","ENSACLG00000026976,ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000026942,ENSACLG00000011407,ENSACLG00000019192,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000019217,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000018260,ENSACLG00000027709,ENSACLG00000023374,ENSACLG00000000691,ENSACLG00000008673,ENSACLG00000008971,ENSACLG00000003855,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000020019,ENSACLG00000016996,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000009233,ENSACLG00000014426,ENSACLG00000003501,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000018106,ENSACLG00000025551"
"GO:BP","regulation of macromolecule biosynthetic process","GO:0010556","false","0.0014477116767547587","2.8393179227124787","1259","51","19","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
"GO:BP","regulation of biological process","GO:0050789","false","0.0014477116767547587","2.8393179227124787","3722","51","36","9107","ENSACLG00000026976,ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000026942,ENSACLG00000011407,ENSACLG00000019192,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000019217,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000018260,ENSACLG00000027709,ENSACLG00000023374,ENSACLG00000000691,ENSACLG00000008673,ENSACLG00000008971,ENSACLG00000003855,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000020019,ENSACLG00000016996,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000009233,ENSACLG00000014426,ENSACLG00000003501,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000018106,ENSACLG00000025551"
"GO:BP","regulation of biosynthetic process","GO:0009889","false","0.0014477116767547587","2.8393179227124787","1271","51","20","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000009233,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
"GO:BP","regulation of gene expression","GO:0010468","false","0.0014477116767547587","2.8393179227124787","1255","51","19","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
"GO:BP","regulation of primary metabolic process","GO:0080090","false","0.0014477116767547587","2.8393179227124787","1026","51","17","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
"GO:BP","regulation of metabolic process","GO:0019222","false","0.0014477116767547587","2.8393179227124787","1371","51","20","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000009233,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
"GO:BP","biological regulation","GO:0065007","false","0.0015174349127089625","2.818889928033634","3808","51","36","9107","ENSACLG00000026976,ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000026942,ENSACLG00000011407,ENSACLG00000019192,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000019217,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000018260,ENSACLG00000027709,ENSACLG00000023374,ENSACLG00000000691,ENSACLG00000008673,ENSACLG00000008971,ENSACLG00000003855,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000020019,ENSACLG00000016996,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000009233,ENSACLG00000014426,ENSACLG00000003501,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000018106,ENSACLG00000025551"
"GO:BP","regulation of macromolecule metabolic process","GO:0060255","false","0.0024559251291933685","2.609784877137469","1330","51","19","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000024397,ENSACLG00000011876,ENSACLG00000017708,ENSACLG00000006469,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000000050,ENSACLG00000014032,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
"GO:BP","regulation of RNA metabolic process","GO:0051252","false","0.009753404591335809","2.0108437599798354","879","51","14","9107","ENSACLG00000024690,ENSACLG00000022193,ENSACLG00000007206,ENSACLG00000026198,ENSACLG00000015299,ENSACLG00000003331,ENSACLG00000000691,ENSACLG00000017708,ENSACLG00000009089,ENSACLG00000008015,ENSACLG00000015253,ENSACLG00000004735,ENSACLG00000019363,ENSACLG00000025551"
