seqnames	start	end	width	strand	logFC	logCPM	F	PValue	FDR	gene_id
80289	16	16493551	16493700	150	*	5.1259533801098	-0.166428173905176	76.1931650479135	1.65648134973398e-15	1.28533659806272e-11	ENSACLG00000004561
80293	16	16494301	16494450	150	*	4.36915173899066	0.524264261030283	76.1476306228397	1.6269137623959e-15	1.28533659806272e-11	ENSACLG00000004561
93692	17	37605301	37605450	150	*	-9.26641650035382	2.66068972249886	76.1786130306904	1.66812733895784e-15	1.28533659806272e-11	ENSACLG00000011027
214595	8	1329901	1330050	150	*	3.63235276786812	1.17357391397568	73.9137272437017	3.61008694674304e-15	2.25540669847359e-11	ENSACLG00000018243
134328	22	17551	17700	150	*	4.2320416772298	0.522236017827583	73.6748860490027	3.89407152144299e-15	2.36880469672031e-11	ENSACLG00000009917
214590	8	1329151	1329300	150	*	3.74823495234021	1.11357263526326	72.4453163156769	6.17791530219359e-15	3.44647691101488e-11	ENSACLG00000018243
26884	11	21337801	21337950	150	*	-4.6284562897419	3.10233427641549	66.623550948504	5.10910038817861e-14	1.7894082235312e-10	ENSACLG00000020807
109293	19	14973601	14973750	150	*	-4.0147216487262	2.59464966295422	66.1390901871666	6.12091748507761e-14	1.96513756113274e-10	ENSACLG00000027346
109293.1	19	14973601	14973750	150	*	-4.0147216487262	2.59464966295422	66.1390901871666	6.12091748507761e-14	1.96513756113274e-10	ENSACLG00000027350
147286	23	8384551	8384700	150	*	-5.09573845203338	2.86553149614729	65.854687970198	6.94522898014895e-14	2.19924005560722e-10	ENSACLG00000016317
1905	1	10074601	10074750	150	*	-5.51101664637024	2.48366518902707	65.5867351376486	7.7648463016874e-14	2.36171887027034e-10	ENSACLG00000015299
72950	15	25804651	25804800	150	*	-4.77929645092862	2.97395669637444	64.9462168035563	9.64245078191688e-14	2.75176498499548e-10	ENSACLG00000014371
164368	4	5541001	5541150	150	*	-5.54470840171641	2.66461108017322	64.9616819141828	9.79931367409313e-14	2.76242652472685e-10	ENSACLG00000024351
103404	18	27675151	27675300	150	*	-6.21581402941671	2.52413194555177	64.9168054051668	1.00590813575496e-13	2.76813943862911e-10	ENSACLG00000019692
111346	19	19691101	19691250	150	*	-6.20964922684302	2.17848944838672	63.5657278105624	1.66933874701561e-13	4.10833483506092e-10	ENSACLG00000011373
169035	4	20013901	20014050	150	*	-4.73829951140841	2.69068096954494	63.3393025111633	1.7639113073173e-13	4.24731468725887e-10	ENSACLG00000007332
169035.1	4	20013901	20014050	150	*	-4.73829951140841	2.69068096954494	63.3393025111633	1.7639113073173e-13	4.24731468725887e-10	ENSACLG00000007207
