seqnames	start	end	width	strand	logFC	logCPM	F	PValue	FDR	gene_id
93692	17	37605301	37605450	150	*	-10.7730991789168	2.66068972249886	126.22097969902	1.45301989980455e-22	1.6793858699951e-17	ENSACLG00000011027
26884	11	21337801	21337950	150	*	-6.06694329049612	3.10233427641549	118.745703359262	1.21356901268902e-21	5.25377608840892e-17	ENSACLG00000020807
72950	15	25804651	25804800	150	*	-6.27713337109738	2.97395669637444	117.933440991631	1.59096516749853e-21	5.25377608840892e-17	ENSACLG00000014371
78091	16	10381351	10381500	150	*	-6.56322329776166	2.77468545213586	116.636424727962	2.43631379944706e-21	6.25748250280649e-17	ENSACLG00000023470
78091.1	16	10381351	10381500	150	*	-6.56322329776166	2.77468545213586	116.636424727962	2.43631379944706e-21	6.25748250280649e-17	ENSACLG00000023623
147286	23	8384551	8384700	150	*	-6.53704693941008	2.86553149614729	115.5195701425	3.43748931107431e-21	7.94603154169316e-17	ENSACLG00000016317
131604	20	26476801	26476950	150	*	-5.98641718979069	2.94014649384968	113.934885078438	5.34076164302872e-21	1.02879981656603e-16	ENSACLG00000025714
103404	18	27675151	27675300	150	*	-7.66611046044884	2.52413194555177	111.028672307281	1.45587904615735e-20	2.40384348965458e-16	ENSACLG00000019692
27089	11	21727951	21728100	150	*	-5.83885203696908	2.84357236687716	107.828158886304	3.65313646317259e-20	5.62967812369367e-16	ENSACLG00000021792
22088	11	8994601	8994750	150	*	-6.26086506773422	2.61834006004837	103.300265744358	1.623434257576e-19	1.97510429533028e-15	ENSACLG00000013933
95669	18	6189151	6189300	150	*	-6.66904232663681	2.48127099173843	101.733661346682	2.75613210616265e-19	3.03381897807784e-15	ENSACLG00000001092
164368	4	5541001	5541150	150	*	-6.72821535120275	2.66461108017322	101.813359831325	2.68198285728675e-19	3.03381897807784e-15	ENSACLG00000024351
47714	13	8568151	8568300	150	*	-5.8930453483048	2.71195061986208	100.629980484071	3.77059638209046e-19	3.83199409157828e-15	ENSACLG00000023507
155416	3	3866701	3866850	150	*	-6.65856367489457	2.4741600549577	100.487988228865	4.12935495250637e-19	3.97722263379778e-15	ENSACLG00000010657
