gene_id	gene_name
ENSACLG00000000048	map7d1a
ENSACLG00000000160	lmod2b
ENSACLG00000000186	NA
ENSACLG00000000200	tbc1d32
ENSACLG00000000262	svilc
ENSACLG00000000364	map7d3
ENSACLG00000000514	hook2
ENSACLG00000000540	map6d1
ENSACLG00000000624	pleca
ENSACLG00000000778	rac3b
ENSACLG00000000819	GAN
ENSACLG00000000882	tmod1
ENSACLG00000000912	NA
ENSACLG00000000991	kank4
ENSACLG00000001009	ablim3
ENSACLG00000001047	NA
ENSACLG00000001221	ect2
ENSACLG00000001322	csrp3
ENSACLG00000001371	NA
ENSACLG00000001727	tnnt3a
ENSACLG00000001740	kif11
ENSACLG00000001811	NA
ENSACLG00000001894	diaph2
ENSACLG00000002059	tpm4a
ENSACLG00000002087	FMN2
ENSACLG00000002130	haus1
ENSACLG00000002270	FMN1
ENSACLG00000002334	SPTBN1
ENSACLG00000002345	vcp
ENSACLG00000002466	NA
ENSACLG00000002471	arpc1a
ENSACLG00000002476	tpx2
ENSACLG00000002511	llgl2
ENSACLG00000002541	NA
ENSACLG00000002677	arpin
ENSACLG00000003060	INF2
ENSACLG00000003141	myh7
ENSACLG00000003152	NA
ENSACLG00000003376	slc8a1a
ENSACLG00000003527	pih1d3
ENSACLG00000003646	sptbn1
ENSACLG00000003767	tubg1
ENSACLG00000003867	fmnl1a
ENSACLG00000003918	avil
ENSACLG00000003952	myh10
ENSACLG00000004010	unc45b
ENSACLG00000004093	NA
ENSACLG00000004253	sept15
ENSACLG00000004401	flnca
ENSACLG00000004494	tmod4
ENSACLG00000004557	scrib
ENSACLG00000004701	prmt7
ENSACLG00000004864	NA
ENSACLG00000004935	fam49al
ENSACLG00000004972	ablim2
ENSACLG00000004977	cap1
ENSACLG00000005266	TPPP
ENSACLG00000005370	NA
ENSACLG00000005470	bves
ENSACLG00000005562	pls1
ENSACLG00000005632	NA
ENSACLG00000005868	cnn3a
ENSACLG00000005884	NA
ENSACLG00000005936	spire2
ENSACLG00000006101	dnaaf3l
ENSACLG00000006299	NA
ENSACLG00000006498	fmnl3
ENSACLG00000007019	EPB41L2
ENSACLG00000007030	flncb
ENSACLG00000007055	map1aa
ENSACLG00000007290	tubgcp4
ENSACLG00000007329	epb41l3a
ENSACLG00000007396	sptb
ENSACLG00000008001	ngs
ENSACLG00000008056	fam49a
ENSACLG00000008066	myo18aa
ENSACLG00000008108	cdc42bpab
ENSACLG00000008191	prc1b
ENSACLG00000008339	epb41l3b
ENSACLG00000008407	stmn4
ENSACLG00000008415	NA
ENSACLG00000008700	dusp27
ENSACLG00000009182	FLNB
ENSACLG00000009191	ccsapb
ENSACLG00000009206	capza1b
ENSACLG00000009288	phactr4a
ENSACLG00000009415	gsnb
ENSACLG00000009473	si:ch211-203d1.3
